Frame,Time (s),Status,Confidence
35,1.17,Crash Detected,"0.46, 0.37"
39,1.3,Crash Detected,"0.49, 0.35"
40,1.33,Crash Detected,"0.48, 0.34"
41,1.37,Crash Detected,"0.51, 0.35"
42,1.4,Crash Detected,"0.49, 0.36"
67,2.23,Crash Detected,"0.66, 0.44"
68,2.27,Crash Detected,"0.64, 0.40"
70,2.33,Crash Detected,"0.65, 0.44"
71,2.37,Crash Detected,"0.63, 0.47"
72,2.4,Crash Detected,"0.58, 0.51"
73,2.43,Crash Detected,"0.67, 0.52"
74,2.47,Crash Detected,"0.60, 0.49"
75,2.5,Crash Detected,"0.65, 0.52"
76,2.53,Crash Detected,"0.64, 0.62"
77,2.57,Crash Detected,"0.66, 0.65"
78,2.6,Crash Detected,"0.65, 0.63"
79,2.63,Crash Detected,"0.64, 0.63"
80,2.67,Crash Detected,"0.67, 0.62"
81,2.7,Crash Detected,"0.75, 0.39"
82,2.73,Crash Detected,"0.68, 0.61"
83,2.77,Crash Detected,"0.66, 0.60"
84,2.8,Crash Detected,"0.68, 0.58"
85,2.83,Crash Detected,"0.62, 0.47"
86,2.87,Crash Detected,"0.68, 0.38"
87,2.9,Crash Detected,"0.61, 0.38"
88,2.93,Crash Detected,"0.55, 0.50"
89,2.97,Crash Detected,"0.44, 0.42"
90,3.0,Crash Detected,"0.48, 0.47"
91,3.03,Crash Detected,"0.50, 0.42"
92,3.07,Crash Detected,"0.59, 0.46"
93,3.1,Crash Detected,"0.53, 0.52"
94,3.13,Crash Detected,"0.47, 0.47"
95,3.17,Crash Detected,"0.41, 0.36"
96,3.2,Crash Detected,"0.46, 0.43"
97,3.23,Crash Detected,"0.57, 0.52"
98,3.27,Crash Detected,"0.48, 0.32"
99,3.3,Crash Detected,"0.50, 0.32"
100,3.33,Crash Detected,"0.48, 0.33"
101,3.37,Crash Detected,"0.51, 0.33"
102,3.4,Crash Detected,"0.52, 0.31"
103,3.43,Crash Detected,"0.44, 0.33"
104,3.47,Crash Detected,"0.48, 0.38"
105,3.5,Crash Detected,"0.43, 0.36"
106,3.53,Crash Detected,"0.47, 0.41"
107,3.57,Crash Detected,"0.47, 0.45"
108,3.6,Crash Detected,"0.53, 0.44"
109,3.63,Crash Detected,"0.56, 0.46"
110,3.67,Crash Detected,"0.57, 0.50"
111,3.7,Crash Detected,"0.53, 0.43"
112,3.73,Crash Detected,"0.51, 0.48"
113,3.77,Crash Detected,"0.54, 0.48"
114,3.8,Crash Detected,"0.69, 0.47"
115,3.83,Crash Detected,"0.78, 0.44"
116,3.87,Crash Detected,"0.71, 0.38"
117,3.9,Crash Detected,"0.80, 0.62"
118,3.93,Crash Detected,"0.79, 0.46"
119,3.97,Crash Detected,"0.58, 0.50"
120,4.0,Crash Detected,"0.59, 0.47"
121,4.03,Crash Detected,"0.62, 0.48"
122,4.07,Crash Detected,"0.58, 0.47"
123,4.1,Crash Detected,"0.59, 0.46"
124,4.13,Crash Detected,"0.60, 0.49"
125,4.17,Crash Detected,"0.54, 0.44"
126,4.2,Crash Detected,"0.55, 0.42"
127,4.23,Crash Detected,"0.55, 0.44"
128,4.27,Crash Detected,"0.74, 0.35"
129,4.3,Crash Detected,"0.56, 0.43"
130,4.33,Crash Detected,"0.56, 0.42"
131,4.37,Crash Detected,"0.50, 0.43"
132,4.4,Crash Detected,"0.48, 0.42"
133,4.43,Crash Detected,"0.48, 0.43"
134,4.47,Crash Detected,"0.49, 0.43"
135,4.5,Crash Detected,"0.50, 0.42"
136,4.53,Crash Detected,"0.50, 0.42"
137,4.57,Crash Detected,"0.46, 0.45"
138,4.6,Crash Detected,"0.62, 0.33"
139,4.63,Crash Detected,"0.50, 0.29"
140,4.67,Crash Detected,"0.53, 0.37"
141,4.7,Crash Detected,"0.55, 0.45"
142,4.73,Crash Detected,"0.48, 0.47"
143,4.77,Crash Detected,"0.55, 0.31"
144,4.8,Crash Detected,"0.51, 0.48"
145,4.83,Crash Detected,"0.51, 0.31"
146,4.87,Crash Detected,"0.51, 0.47"
